[0]	[System Idle Process]
[12656]	msedgewebview2.exe
[12664]	msedgewebview2.exe
[12816]	msedgewebview2.exe
[12864]	msedgewebview2.exe
[7668]	SearchIndexer.exe
[1900]	ctfmon.exe
[13292]	svchost.exe
[10208]	SecurityHealthSystray.exe
[11000]	SecurityHealthService.exe
[6464]	RtkAudUService64.exe
[13356]	svchost.exe
[14288]	svchost.exe
[14860]	OneDrive.exe
[15088]	svchost.exe
[15144]	svchost.exe
[12276]	svchost.exe
[14716]	svchost.exe
[10684]	dllhost.exe
[15616]	NhNotifSys.exe
[8684]	gamingservices.exe
[10104]	ApplicationFrameHost.exe
[15540]	svchost.exe
[16104]	svchost.exe
[15680]	svchost.exe
[14700]	svchost.exe
[9292]	svchost.exe
[16732]	svchost.exe
[16888]	svchost.exe
[16824]	svchost.exe
[1452]	svchost.exe
[15692]	gamingservicesnet.exe
[3160]	RuntimeBroker.exe
[18308]	XboxPcAppFT.exe
[12592]	XboxPcTray.exe
[12420]	svchost.exe
[17524]	EdgeGameAssist.exe
[17896]	AccountsControlHost.exe
[16208]	WWAHost.exe
[14756]	RuntimeBroker.exe
[10156]	GameInputSvc.exe
[3988]	GameInputSvc.exe
[14040]	AWCC.Service.exe
[12996]	svchost.exe
[16072]	DDVRulesProcessor.exe
[16184]	Dell.D3.WinSvc.exe
[18164]	DSAPI.exe
[13296]	XtuService.exe
[7540]	DellSupportAssistRemedationService.exe
[9268]	AWCC.Background.Server.exe
[1240]	ServiceShell.exe
[18820]	RuntimeBroker.exe
[16804]	UserOOBEBroker.exe
[19404]	svchost.exe
[18564]	svchost.exe
[4400]	servicehost.exe
[10100]	SupportAssistAgent.exe
[4216]	uihost.exe
[12476]	MidiSrv.exe
[5408]	svchost.exe
[8708]	DDVDataCollector.exe
[15984]	DDVCollectorSvcApi.exe
[13728]	nvapiw.exe
[8904]	FileCoAuth.exe
[4968]	ShellExperienceHost.exe
[16228]	RuntimeBroker.exe
[14128]	GameInputRedistService.exe
[7496]	GameInputRedistService.exe
[10772]	PhoneExperienceHost.exe
[3736]	svchost.exe
[20972]	dllhost.exe
[18624]	svchost.exe
[19132]	ShellHost.exe
[1480]	backgroundTaskHost.exe
[2384]	backgroundTaskHost.exe
[16820]	backgroundTaskHost.exe
[16336]	backgroundTaskHost.exe
[21752]	backgroundTaskHost.exe
[15904]	backgroundTaskHost.exe
[14932]	backgroundTaskHost.exe
[18420]	backgroundTaskHost.exe
[5104]	backgroundTaskHost.exe
[17756]	backgroundTaskHost.exe
[19232]	backgroundTaskHost.exe
[15252]	backgroundTaskHost.exe
[13236]	backgroundTaskHost.exe
[4536]	backgroundTaskHost.exe
[19140]	backgroundTaskHost.exe
[21408]	backgroundTaskHost.exe
[8584]	backgroundTaskHost.exe
[14912]	backgroundTaskHost.exe
[22180]	backgroundTaskHost.exe
[22112]	backgroundTaskHost.exe
[20360]	backgroundTaskHost.exe
[22204]	backgroundTaskHost.exe
[380]	backgroundTaskHost.exe
[16460]	backgroundTaskHost.exe
[20148]	WmiPrvSE.exe
[21100]	backgroundTaskHost.exe
[11996]	LockApp.exe
[8912]	RuntimeBroker.exe
[18992]	svchost.exe
[17460]	backgroundTaskHost.exe
[16716]	RuntimeBroker.exe
[5800]	RuntimeBroker.exe
[4032]	svchost.exe
[7624]	backgroundTaskHost.exe
[3508]	CHXSmartScreen.exe
[6480]	RuntimeBroker.exe
[9040]	dllhost.exe
[17852]	mscopilot_proxy.exe
[14548]	xgamehelper.exe
[19116]	TabTip.exe
[3456]	TextInputHost.exe
[22440]	tcui-app.exe
[7860]	RuntimeBroker.exe
[20504]	taskhostw.exe
[23184]	svchost.exe
[17384]	msedge.exe
[1016]	msedge.exe
[5644]	msedge.exe
[2536]	msedge.exe
[21996]	msedge.exe
[21312]	msedge.exe
[21000]	msedge.exe
[22628]	msedge.exe
[8664]	msedge.exe
[11992]	msedge.exe
[10020]	backgroundTaskHost.exe
[15132]	msedge.exe
[19728]	msedge.exe
[2088]	msedge.exe
[17888]	backgroundTaskHost.exe
[10764]	XboxPcApp.exe
[14624]	WUDFHost.exe
[1732]	dllhost.exe
[6872]	WUDFHost.exe
[10532]	backgroundTaskHost.exe
[5588]	TOTALCMD64.EXE
[14808]	backgroundTaskHost.exe
[7920]	svchost.exe
[13840]	svchost.exe
[18636]	backgroundTaskHost.exe
[20008]	RuntimeBroker.exe
[13568]	WindowsPackageManagerServer.exe
[12480]	svchost.exe
[7976]	smartscreen.exe
[18560]	svchost.exe
[19104]	svchost.exe
[23908]	mscopilot.exe
[23944]	mscopilot.exe
[24120]	mscopilot.exe
[24128]	mscopilot.exe
[24176]	mscopilot.exe
[3256]	AWCC.exe
[24704]	GameLibraryAppService.exe
[11628]	SearchProtocolHost.exe
[20512]	msedge.exe
[15344]	svchost.exe
[6880]	WmiApSrv.exe
[19632]	SearchFilterHost.exe
[13824]	msedge.exe
[24760]	svchost.exe
[21576]	SecHealthUI.exe
[8532]	SecurityHealthHost.exe
[2164]	svchost.exe
[25572]	SystemIdleCheck.exe
[15900]	qgmuzkivq8.exe
[4232]	msedge.exe
[11984]	msedge.exe
[12392]	msedge.exe
[3340]	msedge.exe
[8076]	msedge.exe
[24512]	msedge.exe
[21388]	msedge.exe
[6596]	msedge.exe
[13944]	msedge.exe
[24780]	msedge.exe
[12008]	msedge.exe
[16640]	SearchFilterHost.exe
[20164]	Forza6ModMenu.exe
